hexagon_id,health_score
0,0.000
150,12.778
151,12.778
152,12.778
153,12.778
154,12.778
155,12.778
156,12.778
157,12.778
158,12.778
159,12.778
160,12.778
161,12.778
162,12.778
163,12.778
164,12.778
165,12.778
166,12.778
167,12.778
168,12.778
169,12.778
170,12.778
171,12.778
172,7.318
172,12.778
173,7.318
174,7.318
175,7.318
176,7.318
177,7.318
178,7.318
179,7.318
180,7.318
181,7.318
182,7.318
183,7.318
184,7.318
185,7.318
186,7.318
187,7.318
188,7.318
189,7.318
190,7.318
191,7.318
192,7.318
192,8.240
193,7.318
193,8.240
194,8.240
195,8.240
196,8.240
197,8.240
198,8.240
200,8.240
350,12.778
351,12.778
352,12.778
353,12.778
354,12.778
355,12.778
356,12.778
357,12.778
358,12.778
359,12.778
360,12.778
361,12.778
362,12.778
363,12.778
364,12.778
365,12.778
366,12.778
367,12.778
368,12.778
369,12.778
370,12.778
371,7.318
371,12.778
372,7.318
372,12.778
373,7.318
374,7.318
375,7.318
376,7.318
377,7.318
378,7.318
379,7.318
380,7.318
381,7.318
382,7.318
383,7.318
384,7.318
385,7.318
386,7.318
387,7.318
388,7.318
389,7.318
390,7.318
391,7.318
391,8.240
392,7.318
392,8.240
393,8.240
394,8.240
395,8.240
396,8.240
397,8.240
398,8.240
399,8.240
400,8.240
550,12.778
551,12.778
552,12.778
553,12.778
554,12.778
555,12.778
556,12.778
557,12.778
558,12.778
559,12.778
560,12.778
561,12.778
562,12.778
563,12.778
564,12.778
565,12.778
566,12.778
567,12.778
568,12.778
569,12.778
570,12.778
571,7.318
571,12.778
572,7.318
573,7.318
574,7.318
575,7.318
576,7.318
577,7.318
578,7.318
579,7.318
580,7.318
581,7.318
582,7.318
583,7.318
584,7.318
585,7.318
586,7.318
587,7.318
588,7.318
589,7.318
590,7.318
590,8.240
591,7.318
591,8.240
592,8.240
593,8.240
594,8.240
595,8.240
596,8.240
597,8.240
598,8.240
599,8.240
600,8.240
748,12.778
750,12.778
751,12.778
752,12.778
753,12.778
754,12.778
755,12.778
756,12.778
757,12.778
758,12.778
759,12.778
760,12.778
761,12.778
762,12.778
763,12.778
764,12.778
765,12.778
766,12.778
767,12.778
768,12.778
769,12.778
770,7.318
770,12.778
771,7.318
771,12.778
772,7.318
773,7.318
774,7.318
775,7.318
776,7.318
777,7.318
778,7.318
779,7.318
780,7.318
781,7.318
782,7.318
783,7.318
784,7.318
785,7.318
786,7.318
787,7.318
788,7.318
788,8.240
789,7.318
789,8.240
790,8.240
791,8.240
792,8.240
793,8.240
794,8.240
795,8.240
796,8.240
797,8.240
798,8.240
799,8.240
800,8.240
948,12.778
949,12.778
950,12.778
951,12.778
952,12.778
953,12.778
954,12.778
954,13.884
955,12.778
956,12.778
957,12.778
958,12.778
959,12.778
960,12.778
961,12.778
962,12.778
963,12.778
964,12.778
965,12.778
966,12.778
967,12.778
